PN,PID,Inspector,Profile,Fixture/Tip,Fiber Type,Cleaning,Max Kitting,,
10-3090-02,QSFP-40G-SR4-S=,Fast MT,FBN-MT-IEC-T6 MM-PC,QSFP:Module,MPO-12,,120,,
10-3105-01,SFP-10G-SR-S=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2625-01,GLC-LH-SMD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2672-03,QSFP-40G-SR4=,Fast MT,FBN-MT-IEC-T6 MM-PC,QSFP:Module,MPO-12,,120,,
10-1968-02,SFP-OC12-LR1=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2624-01,GLC-EX-SMD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2621-01,GLC-ZX-SMD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2224-03,DWDM-SFP-5252=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2227-03,DWDM-SFP-5012=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2222-03,DWDM-SFP-5898=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2216-03,DWDM-SFP-5979=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3146-02,QSFP-100G-LR4-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,120,,
10-2481-01,ONS-SE-GE-BXU=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3142-02,QSP-100G-SR4-S=,Fast MT,FBN-MT-IEC-T6 MM-PC,QSFP:Module,MPO-12,,120,,
10-2020-02,SFP-OC3-SR=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1966-02,SFP-OC3-IR1=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3207-01,ONS-CXP2-SR25=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2482-01,ONS-SE-GE-BXD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2353-03,ONS-SE-100-BX10D=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3144-01,QSFP-100G-PSM4-S=,Fast MT,FBN-MT-IEC-T4-SM-APC,QSFP:Module,MPO-12,,120,,
10-2101-02,GLC-FE-100BX-D=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2094-03,GLC-BX-U=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2415-03,SFP-10G-SR=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1970-02,SFP-OC12-SR=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1969-02,SFP-OC12-iR1=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2683-03,SFP-10G-ZR=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2302-02,GLC-FE-100LX-RGD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3390-01,ONS-C2-WDM-DE-1HL=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,180,,
10-2205-06,X2-10GB-SR=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3206-01,DS-SFP-FC32G-SW=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3036-01,DWDM-SFP10G-C=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2948-01,GLC-BX40-DA-I=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1963-02,SFP-OC48-IR1=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2077-02,GLC-FE-100FX,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3033-02,GLC-SX-MMD=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3215-01,CFP2-100G-ER4=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,180,,
10-3388-01,SFP-10/25G-CSR-S=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2080-02,GLC-FE-100LX=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2302-02,GLC-FE-100LX-RGD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1964-02,SFP-OC3-LR2=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3118-02,QSFP-4X10G-LR-S=,Fast MT,FBN-MT-IEC-T4-SM-APC,QSFP:Module,MPO-12,,120,,
10-2949-01,ONS-SC-155-TSOP=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2626-02,GLC-SX-MMD=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3399-01,CFP2-WDM-D-1HL,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,180,,
