PN,PID,Inspector,Profile,Fixture/Tip,Fiber Type,Cleaning,Max Kitting,,
10-2785-01,DWDM-SFP-10G-31.12=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2631-02,SFP-10G-SR-X=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3208-01,ONS-SI-OC-VCOP=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2544-02,DWDM-XFP-C=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3250-02,ONS-CXP2-SR25=,Fast MT,FBN-MT-IEC-T6 MM-PC,CPAK-10kModule,MPO-24,Yes,60,,
10-3425-01,ONS-SI+-10G-SR,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3317-02,QSFP-40/100-SRBD=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,60,,
10-2549-03,CFP-100G-LR4=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,120,,
10-3115-01,QSFP-40G-LR4-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3063-02,WSP-Q40GLR4L,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,180,,
10-2842-02,QSFP-40G-LR4=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3220-01,QSFP-100G-SM-SR=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,120,,
10-2960-01,CWDM-SFP10G-1470,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,120,,
10-2957-01,CWDM-SFP10G-1530=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,120,,
10-2293-02,GLC-LX-SM-RGD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,120,,
10-3390-02,ONS-C2-WDM-DE-1HL=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,180,,
10-2961-01,CWDM-SFP10G-1610=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,181,,
10-2036-05,X2-10GB-LR=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2959-01,CWDM-SFP10G-1550=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,181,,
10-2958-01,CWDM-SFP10G-1510=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,181,,
